uniprot_id,ph_optimum,ec_id
A0A087BL81,5,3.5.1.24
I3QNT2,6,3.5.1.24
Q57VC7,6.25,2.4.2.6
A0A097QQT4,6,3.2.1.73
P0A7A9,7.633,3.6.1.1
A7BFV7,7.5,2.3.1.50
C0IRI4,6,2.4.1.207
I6XNY7,7,1.1.1.219
Q13093,7.4,3.1.1.4
P17618,8,1.1.1.193 ; 3.5.4.26
Q1J0Z5,7.6,5.4.99.16
Q9FYU7,6,2.4.1.120
I4DST8,6.75,4.2.99.22 ; 4.2.99.23
C0IRI2,6,2.4.1.207
Q4QR99,7.3,2.4.2.64
P11832,7,1.7.1.15 ; 1.7.1.1
Q3V050,8.5,
Q8L5A7,7.5,2.8.2.39
P33378,6.5,3.1.4.3
Q6ZQW0,7.5,1.13.11.52
P22310,7.725,2.4.1.17
Q9T0A7,8.6,5.1.3.2 ; 5.1.3.5
Q8VCC2,7.3,3.1.1.1
P05959,8,3.1.26.13
Q731I1,7,2.1.1.197
Q8NKR9,8,3.1.3.11
Q3LIE5,7.5,3.6.1.13 ; 3.6.1.53 ; 3.6.1.1
Q9S762,8.5,2.4.2.17
Q6NQA8,6.5,3.6.1.5
O14295,7.5,1.1.1.65
Q57703,8.5,4.4.1.19
Q9NWM0,9.25,1.5.3.16
P21369,7.2,3.5.1.-; 3.5.1.19
A0A3G9E319,8.5,2.3.1.51
P21631,7.7,2.1.1.107
Q006Q0,7.15,1.1.1.40
P09383,7.5,2.4.2.8
Q99PX1,8.75,3.5.1.105
Q43998,5.5,2.4.1.10 ; 3.2.1.65
Q15819,7.5,2.3.2.24
Q9MZS9,8,1.14.13.9
Q9D6K9,7.45,2.3.1.24
A0A0A1HA03,6.75,2.4.1.360
Q5KTW9,7.4,3.6.4.10
P56526,4.5,3.2.1.20
Q2UHL4,5,3.2.1.15
D1MVE1,7.5,3.4.14.10
K4P7S0,4.75,3.2.1.26
Q60182,7,6.3.1.2
P9WNH5,7.5,3.7.1.8
Q88FY2,7.5,1.14.13.114
A8HYF7,7.6,3.4.21.53
P14060,7.4,5.3.3.1 ; 1.1.1.145
Q24K61,8,1.3.99.31
